country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","31-03-2025 00:00:00",27.103358,93.679645,NO2,5,5,5
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","31-03-2025 00:00:00",27.103358,93.679645,SO2,6,7,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","31-03-2025 00:00:00",26.071318,91.87488,PM10,48,381,139
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","31-03-2025 00:00:00",26.071318,91.87488,OZONE,22,47,27
India,Assam,Guwahati,"IITG, Guwahati - PCBA","31-03-2025 00:00:00",26.2028636,91.70046436,PM2.5,76,210,134
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","31-03-2025 00:00:00",11.654054,92.734055,OZONE,3,24,5
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","31-03-2025 00:00:00",16.5150833,80.5181667,PM10,77,136,95
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","31-03-2025 00:00:00",16.5150833,80.5181667,NH3,3,4,3
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","31-03-2025 00:00:00",13.204880,79.097889,PM2.5,87,163,111
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","31-03-2025 00:00:00",13.204880,79.097889,NO2,1,18,11
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","31-03-2025 00:00:00",14.465052,78.824187,PM2.5,67,194,87
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","31-03-2025 00:00:00",14.465052,78.824187,SO2,14,16,15
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","31-03-2025 00:00:00",16.9872867,81.7363176,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","31-03-2025 00:00:00",16.554731,80.649110,CO,37,54,45
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","31-03-2025 00:00:00",17.72,83.3,NO2,43,67,55
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","31-03-2025 00:00:00",11.654054,92.734055,NO2,18,31,25
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","31-03-2025 00:00:00",11.654054,92.734055,SO2,1,17,11
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","31-03-2025 00:00:00",11.654054,92.734055,CO,25,68,43
India,Assam,Guwahati,"IITG, Guwahati - PCBA","31-03-2025 00:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","31-03-2025 00:00:00",26.10887,91.589544,SO2,10,13,11
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","31-03-2025 00:00:00",16.536107,80.594233,NH3,3,3,3
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","31-03-2025 00:00:00",16.486692,80.699436,NH3,NA,NA,NA
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","31-03-2025 00:00:00",13.67,79.35,NH3,1,2,1
